"Timestamp","In the past 12 months, has any household member done the following? (Check all that apply) [Visited the Community Center]","In the past 12 months, has any household member done the following? (Check all that apply) [Used town swimming facilities]","In the past 12 months, has any household member done the following? (Check all that apply) [Used town recreational fields or courts]","In the past 12 months, has any household member done the following? (Check all that apply) [Used Pine Meadows golf course]","In the past 12 months, has any household member done the following? (Check all that apply) [Used a school or neighborhood playground]","In the past 12 months, has any household member done the following? (Check all that apply) [Used the Minuteman Bikeway]","In the past 12 months, has any household member done the following? (Check all that apply) [Used Lexpress bus]","In the past 12 months, has any household member done the following? (Check all that apply) [Visited Lexington conservation areas]","In the past 12 months, has any household member done the following? (Check all that apply) [Directly received fire or police services]","In the past 12 months, has any household member done the following? (Check all that apply) [Attended Lexington public schools]","In the past 12 months, has any household member done the following? (Check all that apply) [Participated in any town provided program or service for seniors]","In the past 12 months, has any household member done the following? (Check all that apply) [Used Cary library or attended a library event]","In the past 12 months, has any household member done the following? (Check all that apply) [Served town government in any capacity (employee, committee member, town meeting member, elected representative)]","Are you aware that the Recreation & Community Programs Department offers financial aid for programs and services?","Has a household member received this type of financial assistance to participate in a program or service? ","If your primary residence is rental, please indicate your monthly rental cost: ","If you own your primary residence, please indicate your total monthly housing payment (mortgage, insurance, property taxes):","Do you receive a property tax deferral or property tax credit due to limited income?","What level of stress does your household experience with payment of monthly housing costs?","Please elaborate or share any additional thoughts. ","Thinking about all the costs of living in your owned property or rental (rent/mortgage, home maintenance, condo fees, property taxes, insurance, utilities), what portion of these costs do you estimate is related to property taxes?","Are you responsible for the housing costs at your residence (i.e. owner or lessee)?","Are you considering relocating away from Lexington in the next 10 years?","Age (respondent)","Size of household (number of people)","Disabilities within household (check all that apply)","Length of time living in town (respondent)","What type of property is your residence?","Approximate market property value of your Lexington residence (if owned):","Please indicate your approximate household income in the past 12 months","Please indicate how the survey was shared with you (any groups or lists or whether it was forwarded to you.)","Please share any comments to the survey team about this survey. Thank you."
"2018/10/10 2:11:11 PM EST","Yes","No","No","No","No","Yes","Yes","Yes","No","No","Yes","Yes","No","Yes","No","","$2,001-$4,000","No","Some","Property Taxes have syrocketed","Some (26-50%)","Yes","Undecided - Possible","70-79 years","2","N/A","moved in 1980-1989","","$750,000-$999,999","N/A","Lexington List","The Town should consider a Residential Property Tax Exemption without using an archaic needs based test."
"2018/10/10 2:16:24 PM EST","No","Yes","Yes","No","Yes","Yes","No","Yes","No","No","No","Yes","Yes","Yes","No","","$2,001-$4,000","No","Significant","Stretched our budget to the limit to be able to move to town. The only way this was possible is that we bought my parents house - we got a slight discount from market value (debatable) and our mortgage through them so the rate is extremely low. Our mortgage payment is $2004/month and the tax payment (on 1,900sqft cape house) is $1,100/month. Average $125/month for insurance. Our gross annual income (both parents work full time) is $155K; we spend $20K on fed/state taxes; $25K into 401Ks; $40K on the house (mtg, taxes, insurance); $55K on full time daycare for 2 children (age 3 and 1); $6K on utilities (oil, electric, phone, tv); $5K on cars (insurance, fuel, repairs, taxs; no car payments); $5K on groceries for family of 4. This leaves NEGATIVE $1K in our annual budget for EVERYTHING else (doctors, clothing, sports, activities, pets, travel (ha), entertainment, ""wants""). Almost none of the expenses are things that we can reduce the cost of if we stay in Lexington (we could get rid of cable and our phones and save $2K, but we would cry), so we are really cognizant of ANY increase in annual costs in any of these categories. Pretty much the only one that is guaranteed to increase each year are our real estate taxes (and childcare while they are still < age 5). Even a measly increase affects us adversely.  We get a (tiny) financial scholarship from our daycare to help keep costs steady year-to-year. We are essentially going in the black until our kids make it to public school - at that point our childcare will go from $55K to $10K (for lextended day) so we will finally have a little bit extra to fund our IRAs and pay for activities for our children, buy clothes, pay doctors, etc.","Some (26-50%)","Yes","Unlikely","31-39 years","4","none of the above","moved in 2010-2014","single family home","$750,000-$999,999","$150,000-$199,999","Joe Pato's facebook page","Young families are priced out of this town - most houses below $700K end up as tear downs, and that's about the max house value a family like mine can afford (or not truly afford in our case! but at least make work somehow). We should enact a residential exemption, reduce the allowable gross square footage per lot (the current restrictions do not truly limit builders) to discourage tearing down perfectly functional ""smaller"" houses (where but Lexington is 2K sqft a small house??) so people making less than $200K per year can afford to live here."
"2018/10/10 2:19:59 PM EST","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","Yes","N/A","Yes","No","Yes","Yes","$0-$1499","","N/A","Substantial","Raising a teen and caring for self off $750/mth is just hard","N/A","Yes","Undecided - Possible","50-59 years","2","none of the above","moved in 2015 or later","single family home","N/A","Less than $35,000","",""
"2018/10/10 2:29:32 PM EST","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No","No","No","Yes","No","No","No","","$2,001-$4,000","No","Little","","Some (26-50%)","Yes","Likely","50-59 years","2","none of the above","moved in 1990-1999","single family home","$1,000,000-$1,249,999","N/A","Lexington List",""
"2018/10/10 2:38:28 PM EST","Yes","No","No","No","No","Yes","No","Yes","No","No","Yes","Yes","No","Yes","No","","$10,001+","No","Little","Retired and have no mortgage. Real estate taxes are huge!","Some (26-50%)","Yes","Undecided - Possible","70-79 years","2","with a hearing difficulty;with a vision difficulty;with an ambulatory difficulty","moved in 1979 and earlier","single family home","$500,000-$749,999","$100,000-$149,999","On line.","Hard for senior citizens to continue to live here.. taxes!"
"2018/10/10 2:42:35 PM EST","Yes","N/A","Yes","Yes","N/A","Yes","No","Yes","No","Yes","N/A","Yes","No","No","No","N/A","$2,001-$4,000","No","Some","","Some (26-50%)","Yes","Undecided - Possible","50-59 years","3","none of the above","moved in 1990-1999","single family home","$1,000,000-$1,249,999","$150,000-$199,999","Forwarded",""
"2018/10/10 2:43:31 PM EST","No","No","No","No","No","Yes","No","Yes","No","No","No","Yes","No","N/A","No","","","No","None","","Little (1-25%)","Yes","Undecided - Possible","60-69 years","2","none of the above","moved in 1979 and earlier","single family home","$750,000-$999,999","","Facebook ",""
"2018/10/10 2:51:35 PM EST","Yes","Yes","No","No","Yes","Yes","No","Yes","No","No","No","No","No","Yes","No","","$2,001-$4,000","No","Some","","Significant (51-75%)","Yes","Undecided - Possible","80 years and over","3","with a hearing difficulty","moved in 1979 and earlier","single family home","$500,000-$749,999","$75,000-$99,000","Joe Pato via Google groups Liberty Heights",""
"2018/10/10 2:53:32 PM EST","Yes","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","","$2,001-$4,000","No","Significant","between monthly housing costs and utility costs, being physically challenged, medical bills, and being over 65, it is sometimes hard to meet all monthly costs.","Some (26-50%)","Yes","Undecided - Possible","60-69 years","3","with an ambulatory difficulty","moved in 1980-1989","single family home","$1,000,000-$1,249,999","$35,000-$49,999","through Nextdoor neighbor",""
"2018/10/10 3:02:07 PM EST","Yes","Yes","No","No","No","Yes","No","Yes","No","Yes","No","Yes","No","No","No","","<$2,000/month","No","None","","Significant (51-75%)","Yes","Undecided - Possible","50-59 years","3","none of the above","moved in 1990-1999","","$500,000-$749,999","$75,000-$99,000","email",""
"2018/10/10 3:15:01 PM EST","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","N/A","$4,001-$6,000","No","Some","","Some (26-50%)","Yes","Likely","50-59 years","3","N/A","moved in 1990-1999","","$1,000,000-$1,249,999","$150,000-$199,999","lexington yahoo group",""
"2018/10/10 3:19:20 PM EST","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","N/A","<$2,000/month","No","Significant","The town spends far too much on schools which provide an abysmal education.","Some (26-50%)","Yes","Undecided - Possible","50-59 years","1","with a vision difficulty;with an ambulatory difficulty","moved in 1979 and earlier","single family home","$500,000-$749,999","Less than $35,000","I found it myself online.","I would like to see town services especially schools, library and trash collection regionalized at the county level to save money. Do not implement a residential exemption that simply shifts the tax burden to other residents. Cut town services particularly schools to make up for any shortfall created by any residential exemption."
"2018/10/10 3:48:39 PM EST","Yes","Yes","Yes","No","Yes","Yes","No","Yes","Yes","Yes","No","Yes","No","No","No","","$2,001-$4,000","No","Little","","Little (1-25%)","Yes","Undecided - Possible","31-39 years","5+","none of the above","moved in 2000-2009","single family home","$750,000-$999,999","$150,000-$199,999","",""
"2018/10/10 3:56:15 PM EST","No","Yes","Yes","No","Yes","No","No","No","Yes","Yes","No","Yes","No","No","No","$1500-2999","","N/A","Significant","","N/A","Yes","Definitely","31-39 years","2","with an ambulatory difficulty","moved in 2000-2009","condominium","N/A","$75,000-$99,000","",""
"2018/10/10 4:00:26 PM EST","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No","Yes","Yes","Yes","No","N/A","$4,001-$6,000","No","None","We do not have a mortgage.  Figure above is estimate from when we did.","Some (26-50%)","Yes","Undecided - Possible","50-59 years","4","none of the above","moved in 1990-1999","single family home","$1,500,000-$1,749,999","$200,000 and over","Lexington list",""
"2018/10/10 4:06:31 PM EST","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","N/A","$2,001-$4,000","No","Little","We need bigger place as my parents stay with us. However we can't afford easily what we need. ","Little (1-25%)","Yes","Undecided - Possible","40-49 years","5+","with a hearing difficulty;with a vision difficulty","moved in 2000-2009","single family home","$500,000-$749,999","$150,000-$199,999","Lexington mavens facebbok",""
"2018/10/10 4:07:46 PM EST","Yes","No","Yes","No","Yes","Yes","No","Yes","No","No","No","No","No","Yes","No","","$2,001-$4,000","No","Little","","Little (1-25%)","Yes","Undecided - Possible","50-59 years","3","none of the above","moved in 1990-1999","single family home","$750,000-$999,999","$150,000-$199,999","Lexington listserv",""
"2018/10/10 4:09:17 PM EST","No","No","No","No","No","Yes","No","Yes","No","No","No","Yes","No","No","No","","<$2,000/month","No","None","","Substantial (76-100%)","Yes","Likely","50-59 years","2","none of the above","moved in 1979 and earlier","single family home","$750,000-$999,999","$200,000 and over","e-mailed to me directly",""
"2018/10/10 4:16:33 PM EST","Yes","Yes","Yes","No","Yes","Yes","No","Yes","No","Yes","No","Yes","Yes","No","No","","$4,001-$6,000","No","Some","","Some (26-50%)","Yes","Definitely Not","40-49 years","2","none of the above","moved in 2000-2009","single family home","$1,000,000-$1,249,999","$200,000 and over","Coworker",""
"2018/10/10 4:34:48 PM EST","No","No","Yes","No","No","Yes","No","Yes","No","No","No","Yes","No","No","No","N/A","<$2,000/month","No","Little","The property tax is too high due to substantial special education cost. ","Substantial (76-100%)","Yes","Likely","50-59 years","4","none of the above","moved in 2000-2009","","$1,250,000-$1,499,999","$200,000 and over","email forwarding",""
"2018/10/10 4:45:07 PM EST","Yes","No","Yes","No","Yes","Yes","Yes","Yes","No","Yes","N/A","Yes","No","No","No","","$2,001-$4,000","No","None","","","Yes","Undecided - Possible","40-49 years","4","N/A","moved in 2000-2009","single family home","$750,000-$999,999","","Joe Pato","Wish that the majority of smaller homes would not be torn down, as I feel the newer homes place many people out of the current housing market."
"2018/10/10 4:46:31 PM EST","Yes","No","Yes","No","Yes","Yes","No","Yes","No","N/A","Yes","Yes","No","Yes","No","","$2,001-$4,000","No","Some","","Some (26-50%)","Yes","Unlikely","60-69 years","2","with an ambulatory difficulty","moved in 1980-1989","single family home","$500,000-$749,999","$75,000-$99,000","Forwarded to neighborhood email group",""
"2018/10/10 4:52:33 PM EST","Yes","No","Yes","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","","$6,001-$8,000","No","Some","","Some (26-50%)","Yes","Definitely Not","40-49 years","4","none of the above","moved in 1979 and earlier","single family home","$1,000,000-$1,249,999","$200,000 and over","",""
"2018/10/10 4:53:25 PM EST","Yes","Yes","Yes","No","Yes","No","No","No","No","Yes","No","Yes","No","No","No","","$4,001-$6,000","No","None","We put down a large amount to ensure our mortgage would be affordable on one income.","Some (26-50%)","Yes","Unlikely","50-59 years","3","with a vision difficulty","moved in 2015 or later","single family home","$750,000-$999,999","$150,000-$199,999","",""
"2018/10/10 5:02:55 PM EST","Yes","","","","","Yes","","Yes","","Yes","","Yes","","No","No","","$2,001-$4,000","No","Significant","","Some (26-50%)","Yes","Definitely","50-59 years","4","none of the above","moved in 2000-2009","single family home","$500,000-$749,999","$100,000-$149,999","Community list serve",""
"2018/10/10 5:05:14 PM EST","No","No","No","Yes","No","Yes","No","No","No","No","No","","No","N/A","N/A","","N/A","No","None","","Little (1-25%)","Yes","Likely","60-69 years","2","none of the above","moved in 1990-1999","single family home","$750,000-$999,999","N/A","neighborhood list serve",""
"2018/10/10 5:10:25 PM EST","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","N/A","Yes","No","No","No","","$2,001-$4,000","No","Little","","Little (1-25%)","Yes","Unlikely","40-49 years","4","none of the above","moved in 2010-2014","single family home","$750,000-$999,999","$200,000 and over","",""
"2018/10/10 5:34:45 PM EST","No","No","Yes","No","Yes","Yes","No","No","No","Yes","No","Yes","No","No","No","","$6,001-$8,000","No","Significant","","Some (26-50%)","Yes","Unlikely","40-49 years","4","none of the above","moved in 2010-2014","single family home","$1,250,000-$1,499,999","$200,000 and over","Lexington’s Chinese residents group",""
"2018/10/10 5:47:11 PM EST","No","Yes","No","No","Yes","Yes","No","Yes","No","Yes","No","Yes","No","No","No","","$2,001-$4,000","No","Substantial","Mortgage, utilities, are high cost versus the low percentage of salary increases from town employment ","Significant (51-75%)","Yes","Definitely","50-59 years","4","with a hearing difficulty;with a vision difficulty","moved in 1990-1999","single family home","$500,000-$749,999","$75,000-$99,000","Town email list","It is getting way too expensive to live here. And small starter family homes are not being built affordable here"
"2018/10/10 6:17:44 PM EST","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No","No","No","N/A","$4,001-$6,000","No","Significant","The appraisal is inconsistent.","Some (26-50%)","Yes","Likely","50-59 years","4","with a cognitive difficulty","moved in 2010-2014","single family home","$750,000-$999,999","$100,000-$149,999","IAL",""
"2018/10/10 6:18:15 PM EST","Yes","No","No","No","No","Yes","No","Yes","No","No","No","Yes","Yes","Yes","No","$1500-2999","","N/A","Some","","Some (26-50%)","Yes","Likely","31-39 years","1","with a vision difficulty","moved in 2010-2014","multi-family home","","","Lexington List","You need to include an ""other"" option for disabilities within the household.  My disability does not fit into any of those categories."
"2018/10/10 6:27:53 PM EST","No","No","No","No","No","Yes","No","Yes","No","No","No","Yes","No","No","No","","$2,001-$4,000","No","Some","","Little (1-25%)","Yes","Undecided - Possible","50-59 years","2","with a cognitive difficulty","moved in 1990-1999","single family home","$500,000-$749,999","$100,000-$149,999","Vicki Blier shared a Facebook post on Battle Road Action Committee Group",""
"2018/10/10 6:32:21 PM EST","Yes","Yes","Yes","No","Yes","Yes","No","Yes","No","Yes","N/A","Yes","No","No","No","","$2,001-$4,000","No","None","","Little (1-25%)","Yes","Definitely Not","50-59 years","4","N/A","moved in 2000-2009","single family home","$750,000-$999,999","$200,000 and over","neighborhood listserv",""
"2018/10/10 6:44:17 PM EST","Yes","No","Yes","No","Yes","Yes","Yes","No","No","No","No","Yes","No","No","No","","$2,001-$4,000","No","Some","","Some (26-50%)","Yes","Definitely","50-59 years","3","with a vision difficulty","moved in 1990-1999","single family home","$1,000,000-$1,249,999","N/A","IAL - Indian Americans of Lexington","Please reduce Town and Property taxes! It is ridiculously high and making Lexington difficult to live in."
"2018/10/10 6:47:08 PM EST","No","No","Yes","No","Yes","Yes","No","Yes","No","Yes","N/A","Yes","N/A","No","No","N/A","$6,001-$8,000","No","Little","","Little (1-25%)","Yes","Have not considered","40-49 years","4","none of the above","moved in 2010-2014","single family home","$2,000,000 and more","$200,000 and over","Lexington Mavens FB",""
"2018/10/10 7:07:57 PM EST","","","","","","Yes","","Yes","","","","Yes","","N/A","No","","<$2,000/month","No","Little","I'm working now but i'm 60 and i don't know how i'm going to afford it; my kids are through the schools; if the costs push me out then the person that buys the house is going to be a family with kids in schools; it makes sense to me that you would try to keep me here to keep the school budget down","Significant (51-75%)","Yes","Likely","60-69 years","1","","moved in 1980-1989","single family home","$750,000-$999,999","$100,000-$149,999","lexington list",""
"2018/10/10 7:27:41 PM EST","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No","Yes","","No","No","","$4,001-$6,000","No","Some","","Some (26-50%)","Yes","Definitely","50-59 years","4","","moved in 2000-2009","single family home","$750,000-$999,999","$200,000 and over","Facebook ","Housing and contract development is out of control.  It has changed the entire fabric of the community since we moved here.  We need a better town center, less banks and realtors."
"2018/10/10 7:28:39 PM EST","No","Yes","Yes","No","Yes","Yes","No","Yes","No","Yes","No","Yes","No","No","No","","$4,001-$6,000","No","Some","Taxes are very high","Little (1-25%)","Yes","Likely","40-49 years","4","none of the above","moved in 2000-2009","single family home","$1,000,000-$1,249,999","$200,000 and over","Mavens ",""
"2018/10/10 7:35:38 PM EST","No","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No","No","No","","$4,001-$6,000","No","Significant","","Little (1-25%)","Yes","Definitely Not","31-39 years","5+","none of the above","moved in 2015 or later","single family home","$500,000-$749,999","$200,000 and over","Facebook",""
"2018/10/10 7:38:20 PM EST","Yes","Yes","Yes","No","Yes","Yes","No","Yes","No","Yes","No","Yes","No","Yes","No","","N/A","N/A","Some","","Little (1-25%)","Yes","Unlikely","40-49 years","3","none of the above","moved in 2010-2014","multi-family home","$500,000-$749,999","N/A","liberty lex email list","Lexington is a well run town with and we're happy to pay our share to keep it so!"
"2018/10/10 7:40:39 PM EST","No","No","No","No","Yes","Yes","No","No","No","No","No","Yes","No","No","No","","$2,001-$4,000","No","Significant","Lots of services but few for working parents with young children not yet in the school system. Don’t assume that a parent is stay at home. Daycare presents a significant financial burden. ","Significant (51-75%)","Yes","Undecided - Possible","31-39 years","4","none of the above","moved in 2015 or later","single family home","$1,250,000-$1,499,999","$100,000-$149,999","Lexington mavens ",""
"2018/10/10 7:47:02 PM EST","No","Yes","Yes","No","No","Yes","No","No","No","Yes","No","Yes","No","No","No","","$4,001-$6,000","No","Some","","Some (26-50%)","Yes","Undecided - Possible","40-49 years","3","none of the above","moved in 2010-2014","single family home","$1,000,000-$1,249,999","$200,000 and over","yahoo group",""
"2018/10/10 7:50:17 PM EST","Yes","No","Yes","No","Yes","Yes","No","Yes","No","Yes","No","Yes","No","No","No","","$4,001-$6,000","No","Some","","Some (26-50%)","Yes","Likely","50-59 years","5+","none of the above","moved in 2000-2009","single family home","","","Facebook",""
"2018/10/10 7:59:02 PM EST","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","N/A","Yes","No","Yes","No","","$2,001-$4,000","No","Some","","Significant (51-75%)","Yes","Likely","31-39 years","4","none of the above","moved in 2010-2014","single family home","$750,000-$999,999","$150,000-$199,999","Lexington mavens ",""
"2018/10/10 8:11:29 PM EST","Yes","Yes","Yes","No","Yes","Yes","No","Yes","No","Yes","No","Yes","Yes","No","No","","$2,001-$4,000","No","None","We fortunately can afford our mortgage and property tax and still have enough to do all the other things we want to do in our busy lives.","Some (26-50%)","Yes","Definitely Not","40-49 years","4","none of the above","moved in 2010-2014","single family home","$750,000-$999,999","$200,000 and over","Email",""
"2018/10/10 8:17:22 PM EST","No","No","Yes","Yes","No","Yes","No","Yes","No","No","No","Yes","No","Yes","Yes","","$6,001-$8,000","No","None","We are fortunate to be able to afford the ever-growing taxes, but without school-aged children at some points the cost of the taxes will exceed the pleasure of living in Lexington and we will move to a less expensive community. We feel that there are too many families who Iive in Lexinton only to educate their kids and as soon as the last kid graduates they move to a town with lower taxes. This leaves us - long-term residents - subsidizing these transient families. That does not seem fair.","Some (26-50%)","Yes","Undecided - Possible","60-69 years","2","with an ambulatory difficulty;with a self-care difficulty;with an independent living difficulty","moved in 1980-1989","single family home","$2,000,000 and more","N/A","Lex. list","Thanks for looking for solutions to the lack of affordability of Lexington. Our kids have excellent jobs and yet they'd have a hard time affording a house in Lexington - something that we find very sad.  
"
"2018/10/10 8:20:31 PM EST","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","N/A","Yes","Yes","No","No","","$4,001-$6,000","No","Some","","Some (26-50%)","Yes","Likely","50-59 years","4","none of the above","moved in 2000-2009","","$1,250,000-$1,499,999","$200,000 and over","Nextdoor website",""
"2018/10/10 8:35:54 PM EST","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","Yes","No","No","No","No","N/A","$10,001+","No","Some","","Little (1-25%)","Yes","Likely","40-49 years","5+","none of the above","moved in 2015 or later","single family home","$2,000,000 and more","$200,000 and over","Facebook Lexington mavens",""
"2018/10/10 8:37:32 PM EST","Yes","No","No","No","No","Yes","No","Yes","No","No","No","Yes","Yes","No","N/A","","N/A","No","None","We bought many years ago and have paid off our house. We probably could not afford to buy into town with current housing prices. ","Significant (51-75%)","Yes","Undecided - Possible","60-69 years","2","none of the above","moved in 1980-1989","single family home","$1,000,000-$1,249,999","$200,000 and over","Lexington List",""
"2018/10/10 8:53:30 PM EST","Yes","No","Yes","No","No","Yes","Yes","Yes","No","Yes","No","Yes","","No","No","","$2,001-$4,000","No","Little","","Some (26-50%)","Yes","Unlikely","40-49 years","4","with a cognitive difficulty","moved in 1990-1999","single family home","$500,000-$749,999","$100,000-$149,999","Email list",""
"2018/10/10 9:13:03 PM EST","Yes","Yes","No","No","No","Yes","Yes","Yes","No","Yes","No","Yes","No","Yes","No","","$2,001-$4,000","No","Some","","N/A","Yes","Likely","50-59 years","4","none of the above","moved in 1990-1999","single family home","$750,000-$999,999","N/A","lexington listserve","I appreciate that you are thinking about the impact of property taxes."
"2018/10/10 9:23:37 PM EST","Yes","No","No","No","Yes","Yes","No","No","No","No","Yes","Yes","Yes","No","No","","<$2,000/month","No","Little","","Substantial (76-100%)","Yes","Likely","70-79 years","2","with a hearing difficulty;with a vision difficulty","moved in 1980-1989","single family home","$750,000-$999,999","$100,000-$149,999","lexington list",""
"2018/10/10 9:53:10 PM EST","No","Yes","Yes","No","Yes","Yes","No","Yes","No","Yes","No","Yes","No","No","No","N/A","$2,001-$4,000","No","Significant","I am paycheck to paycheck","Some (26-50%)","Yes","Definitely","40-49 years","3","none of the above","moved in 2010-2014","single family home","$500,000-$749,999","$100,000-$149,999","lex list","To be honest, I felt a little weird being asked for salary and home value info..."
"2018/10/10 9:59:45 PM EST","Yes","No","Yes","No","Yes","Yes","No","Yes","Yes","N/A","Yes","Yes","No","No","No","","<$2,000/month","No","Little","","Significant (51-75%)","Yes","Likely","70-79 years","2","none of the above","moved in 1979 and earlier","single family home","$500,000-$749,999","$50,000-$74,999","Nextdoor Lincoln Park ",""
"2018/10/10 10:28:21 PM EST","Yes","No","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No","Yes","Yes","No","N/A","N/A","$2,001-$4,000","No","None","","Little (1-25%)","Yes","Likely","50-59 years","4","with a hearing difficulty","moved in 2000-2009","single family home","$750,000-$999,999","","forwarded",""
"2018/10/11 1:31:14 AM EST","No","Yes","Yes","No","Yes","Yes","No","Yes","No","Yes","No","Yes","No","No","No","","$6,001-$8,000","No","None","","Little (1-25%)","Yes","Undecided - Possible","40-49 years","2","none of the above","moved in 2010-2014","single family home","$1,250,000-$1,499,999","$200,000 and over","Lexington Mavens",""
"2018/10/11 4:18:24 AM EST","No","No","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","No","No","No","","$6,001-$8,000","No","Some","Less about the payment each month, more about the overall weight of house payment ","Little (1-25%)","Yes","Unlikely","40-49 years","5+","none of the above","moved in 2010-2014","single family home","$2,000,000 and more","$200,000 and over","Mavens","Town wide compost service pls. For this survey, some things were “not yet” (eg Lexpress not now but will value when kids are old enough)"
"2018/10/11 4:43:31 AM EST","Yes","Yes","Yes","No","Yes","Yes","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","$0-$1499","","N/A","Substantial","","Some (26-50%)","Yes","Unlikely","40-49 years","5+","none of the above","moved in 2015 or later","single family home","N/A","$50,000-$74,999","Lexington Mavens",""
"2018/10/11 5:50:56 AM EST","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","N/A","Yes","N/A","Yes","No","","$4,001-$6,000","N/A","Some","","Some (26-50%)","Yes","Undecided - Possible","50-59 years","4","with a cognitive difficulty","moved in 2010-2014","single family home","$1,500,000-$1,749,999","$200,000 and over","Mavens",""
"2018/10/11 6:39:47 AM EST","No","Yes","Yes","No","Yes","Yes","No","No","No","No","No","No","No","No","No","N/A","$8,001-$10,000","No","Substantial","","Some (26-50%)","Yes","Definitely","31-39 years","4","none of the above","moved in 2015 or later","single family home","$1,500,000-$1,749,999","$200,000 and over","Forward ",""
"2018/10/11 6:39:48 AM EST","No","Yes","Yes","No","Yes","Yes","No","No","No","Yes","N/A","Yes","No","No","No","","<$2,000/month","No","None","","Significant (51-75%)","Yes","Undecided - Possible","40-49 years","5+","with a cognitive difficulty","moved in 2000-2009","single family home","$1,000,000-$1,249,999","$200,000 and over","forwarded from co-worker","i moved my son from public schools because the support for his disability was insufficient."
"2018/10/11 7:04:43 AM EST","No","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No","Yes","No","No","No","","$2,001-$4,000","No","None","","Some (26-50%)","Yes","Unlikely","40-49 years","3","none of the above","moved in 2010-2014","single family home","$750,000-$999,999","$200,000 and over","Email",""
"2018/10/11 7:17:49 AM EST","No","Yes","Yes","No","Yes","Yes","No","No","No","N/A","N/A","Yes","No","No","No","N/A","$6,001-$8,000","No","Substantial","Taxes are high","Significant (51-75%)","Yes","Definitely","31-39 years","4","none of the above","moved in 2015 or later","single family home","$1,500,000-$1,749,999","$150,000-$199,999","Facebook Lexington Mavens group",""
"2018/10/11 7:20:27 AM EST","Yes","No","Yes","No","Yes","Yes","No","Yes","No","Yes","No","Yes","No","No","No","","$2,001-$4,000","No","Some","","Little (1-25%)","Yes","Undecided - Possible","31-39 years","4","none of the above","moved in 2015 or later","condominium","$750,000-$999,999","$200,000 and over","Facebook",""
"2018/10/11 7:21:07 AM EST","No","Yes","No","No","Yes","No","No","No","No","Yes","No","Yes","No","No","No","N/A","$6,001-$8,000","No","Some","High Real Estate Tax, High water bill","Little (1-25%)","Yes","Undecided - Possible","40-49 years","3","none of the above","moved in 2000-2009","single family home","$1,250,000-$1,499,999","$200,000 and over","Lexfriends",""
"2018/10/11 7:29:09 AM EST","No","Yes","Yes","No","No","Yes","No","Yes","Yes","No","No","Yes","No","No","No","","<$2,000/month","No","Little","We have lived here for 24 years.  If we had to move here now, housing cost would be much more stressful.","Significant (51-75%)","Yes","Undecided - Possible","60-69 years","2","none of the above","moved in 1990-1999","single family home","$750,000-$999,999","$150,000-$199,999","Liberty Heights listserv",""
"2018/10/11 7:49:15 AM EST","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","","","No","Some","Taxes way too high","Significant (51-75%)","N/A","Unlikely","60-69 years","1","with a self-care difficulty","moved in 1979 and earlier","single family home","Less than $500,000","Less than $35,000","",""
"2018/10/11 8:17:50 AM EST","Yes","No","Yes","No","Yes","No","No","No","No","Yes","No","Yes","No","Yes","No","$3000-$4499","","No","Little","","N/A","Yes","Likely","31-39 years","5+","","moved in 2015 or later","apartment","","$150,000-$199,999","Lexington Mavens",""
"2018/10/11 9:00:06 AM EST","Yes","No","No","No","No","Yes","No","Yes","No","No","Yes","Yes","Yes","No","No","N/A","<$2,000/month","No","Little","We stay within our budget ","Some (26-50%)","Yes","Definitely Not","70-79 years","2","with a hearing difficulty","moved in 2000-2009","condominium","Less than $500,000","$50,000-$74,999","Lexington At Home","It's about time these questions were asked. Hope the survey helps"
"2018/10/11 9:06:49 AM EST","Yes","No","No","No","No","Yes","No","Yes","No","No","Yes","Yes","No","No","No","","<$2,000/month","No","Little","","Significant (51-75%)","N/A","Unlikely","80 years and over","2","with a hearing difficulty;with an ambulatory difficulty;with a self-care difficulty","moved in 1979 and earlier","single family home","$500,000-$749,999","$100,000-$149,999","Lexington at Home--(group)",""
